No,Scientific Name,Common Name
1,Accipiter cooperii,Cooper's Hawk
2,Accipiter gentilis,Northern Goshawk
3,Accipiter nisus,Eurasian Sparrowhawk
4,Accipiter striatus,Sharp-shinned Hawk
5,Accipiter trivirgatus,Crested Goshawk
6,Aechmophorus occidentalis,Western Grebe
7,Agelaius phoeniceus,Red-winged Blackbird
8,Aix galericulata,Mandarin Duck
9,Aix sponsa,Wood Duck
10,Alca torda,Razorbill
11,Alectoris chukar,Chukar
12,Alopochen aegyptiaca,Egyptian Goose
13,Anas acuta,Northern Pintail
14,Anas capensis,Cape Teal
15,Anas carolinensis,Green-winged Teal
16,Anas castanea,Chestnut Teal
17,Anas crecca,Common Teal
18,Anas erythrorhyncha,Red-billed Teal
19,Anas flavirostris,Yellow-billed Teal
20,Anas fulvigula,Mottled Duck
21,Anas georgica,Yellow-billed Pintail
22,Anas gracilis,Grey Teal
23,Anas platyrhynchos,Mallard
24,Anas poecilorhyncha,Indian Spot-billed Duck
25,Anas rubripes,American Black Duck
26,Anas superciliosa,Pacific Black Duck
27,Anas undulata,Yellow-billed Duck
28,Anas zonorhyncha,Chinese Spot-billed Duck
29,Anous tenuirostris,Lesser Noddy
30,Anser albifrons,Greater White-fronted Goose
31,Anser anser,Greylag Goose
32,Anser brachyrhynchus,Pink-footed Goose
33,Anser caerulescens,Snow Goose
34,Anser canagicus,Emperor Goose
35,Anser cygnoid,Swan Goose
36,Anser erythropus,Lesser White-fronted Goose
37,Anser fabalis,Bean Goose
38,Anser indicus,Bar-headed Goose
39,Anser rossii,Ross's Goose
40,Anthropoides virgo,Demoiselle Crane
41,Aquila chrysaetos,Golden Eagle
42,Ardea alba,Great White Egret
43,Ardea cinerea,Grey Heron
44,Ardea herodias,Great Blue Heron
45,Arenaria interpres,Ruddy Turnstone
46,Asio flammeus,Short-eared Owl
47,Asio otus,Northern Long-eared Owl
48,Aythya affinis,Lesser Scaup
49,Aythya americana,Redhead
50,Aythya baeri,Baer's Pochard
51,Aythya collaris,Ring-necked Duck
52,Aythya ferina,Common Pochard
53,Aythya fuligula,Tufted Duck
54,Aythya marila,Greater Scaup
55,Aythya nyroca,Ferruginous Duck
56,Aythya valisineria,Canvasback
57,Balearica regulorum,Grey Crowned Crane
58,Bonasa umbellus,Ruffed Grouse
59,Branta bernicla,Brent Goose
60,Branta canadensis,Canada Goose
61,Branta hutchinsii,Cackling Goose
62,Branta leucopsis,Barnacle Goose
63,Branta ruficollis,Red-breasted Goose
64,Branta sandvicensis,Hawaiian Goose
65,Bubo bubo,Eurasian Eagle-owl
66,Bubo scandiacus,Snowy Owl
67,Bubo virginianus,Great Horned Owl
68,Bucephala albeola,Bufflehead
69,Bucephala clangula,Common Goldeneye
70,Buteo augur,Augur Buzzard
71,Buteo buteo,Eurasian Buzzard
72,Buteo jamaicensis,Red-tailed Hawk
73,Buteo japonicus,Japanese Buzzard
74,Buteo lagopus,Rough-legged Buzzard
75,Buteo lineatus,Red-shouldered Hawk
76,Buteo platypterus,Broad-winged Hawk
77,Buteo swainsoni,Swainson's Hawk
78,Butorides striata,Green-backed Heron
79,Cairina moschata,Muscovy Duck
80,Calidris alba,Sanderling
81,Calidris alpina,Dunlin
82,Calidris canutus,Red Knot
83,Calidris fuscicollis,White-rumped Sandpiper
84,Calidris minutilla,Least Sandpiper
85,Calidris pusilla,Semipalmated Sandpiper
86,Calidris ruficollis,Red-necked Stint
87,Caracara plancus,Crested Caracara
88,Catharacta antarctica,Brown Skua
89,Cathartes aura,Turkey Vulture
90,Centrocercus urophasianus,Sage Grouse
91,Charadrius nivosus,Snowy Plover
92,Chauna torquata,Southern Screamer
93,Chlidonias hybrida,Whiskered Tern
94,Ciconia boyciana,Oriental Stork
95,Ciconia ciconia,White Stork
96,Circus aeruginosus,Western Marsh-harrier
97,Circus hudsonius,Northern Harrier
98,Clangula hyemalis,Long-tailed Duck
99,Columba guinea,Speckled Pigeon
100,Columba palumbus,Common Woodpigeon
101,Copsychus saularis,Oriental Magpie-robin
102,Coragyps atratus,American Black Vulture
103,Corvus brachyrhynchos,American Crow
104,Corvus corax,Common Raven
105,Corvus frugilegus,Rook
106,Corvus macrorhynchos,Large-billed Crow
107,Corvus monedula,Eurasian Jackdaw
108,Corvus ossifragus,Fish Crow
109,Corvus splendens,House Crow
110,Coscoroba coscoroba,Coscoroba Swan
111,Coturnix coturnix,Common Quail
112,Coturnix japonica,Japanese Quail
113,Cygnus atratus,Black Swan
114,Cygnus buccinator,Trumpeter Swan
115,Cygnus columbianus,Tundra Swan
116,Cygnus cygnus,Whooper Swan
117,Cygnus melancoryphus,Black-necked Swan
118,Cygnus olor,Mute Swan
119,Cyrtonyx montezumae,Montezuma Quail
120,Dendrocygna autumnalis,Black-bellied Whistling-duck
121,Dendrocygna bicolor,Fulvous Whistling-duck
122,Dendrocygna viduata,White-faced Whistling-duck
123,Dromaius novaehollandiae,Common Emu
124,Egretta thula,Snowy Egret
125,Eudocimus albus,White Ibis
126,Falco columbarius,Merlin
127,Falco mexicanus,Prairie Falcon
128,Falco peregrinus,Peregrine Falcon
129,Falco rusticolus,Gyrfalcon
130,Falco sparverius,American Kestrel
131,Falco tinnunculus,Common Kestrel
132,Fregata magnificens,Magnificent Frigatebird
133,Fulica americana,American Coot
134,Fulmarus glacialis,Northern Fulmar
135,Gallinago gallinago,Common Snipe
136,Gallinula chloropus,Common Moorhen
137,Garrulax canorus,Chinese Hwamei
138,Garrulus glandarius,Eurasian Jay
139,Gavia immer,Common Loon
140,Gavia pacifica,Pacific Loon
141,Gelochelidon nilotica,Common Gull-billed Tern
142,Gracula religiosa,Common Hill Myna
143,Grus canadensis,Sandhill Crane
144,Grus japonensis,Red-crowned Crane
145,Gyps fulvus,Griffon Vulture
146,Haematopus ater,Blackish Oystercatcher
147,Haematopus ostralegus,Eurasian Oystercatcher
148,Haliaeetus albicilla,White-tailed Sea-eagle
149,Haliaeetus leucocephalus,Bald Eagle
150,Himantopus himantopus,Black-winged Stilt
151,Hirundo rustica,Barn Swallow
152,Hydrocoloeus minutus,Little Gull
153,Hydroprogne caspia,Caspian Tern
154,Junco hyemalis,Dark-eyed Junco
155,Larus argentatus,European Herring Gull
156,Larus armenicus,Armenian Gull
157,Larus atricilla,Laughing Gull
158,Larus belcheri,Belcher's Gull
159,Larus brunnicephalus,Brown-headed Gull
160,Larus cachinnans,Caspian Gull
161,Larus californicus,California Gull
162,Larus canus,Mew Gull
163,Larus cirrocephalus,Grey-headed Gull
164,Larus crassirostris,Black-tailed Gull
165,Larus delawarensis,Ring-billed Gull
166,Larus dominicanus,Kelp Gull
167,Larus fuscus,Lesser Black-backed Gull
168,Larus genei,Slender-billed Gull
169,Larus glaucescens,Glaucous-winged Gull
170,Larus glaucoides,Iceland Gull
171,Larus hyperboreus,Glaucous Gull
172,Larus ichthyaetus,Pallas's Gull
173,Larus marinus,Great Black-backed Gull
174,Larus melanocephalus,Mediterranean Gull
175,Larus michahellis,Yellow-legged Gull
176,Larus modestus,Grey Gull
177,Larus novaehollandiae,Silver Gull
178,Larus occidentalis,Western Gull
179,Larus philadelphia,Bonaparte's Gull
180,Larus pipixcan,Franklin's Gull
181,Larus ridibundus,Black-headed Gull
182,Larus schistisagus,Slaty-backed Gull
183,Larus scoresbii,Dolphin Gull
184,Larus smithsonianus,Arctic Herring Gull
185,Leucocarbo bougainvilliorum,Guanay Cormorant
186,Lophodytes cucullatus,Hooded Merganser
187,Lophura nycthemera,Silver Pheasant
188,Malacorhynchus membranaceus,Pink-eared Duck
189,Mareca americana,American Wigeon
190,Mareca falcata,Falcated Duck
191,Mareca penelope,Eurasian Wigeon
192,Mareca sibilatrix,Chiloe Wigeon
193,Mareca strepera,Gadwall
194,Megascops asio,Eastern Screech-owl
195,Megascops kennicottii,Western Screech-owl
196,Melanitta deglandi,White-winged Scoter
197,Melanitta fusca,Velvet Scoter
198,Melanitta nigra,Common Scoter
199,Melanitta perspicillata,Surf Scoter
200,Meleagris gallopavo,Wild Turkey
201,Mergellus albellus,Smew
202,Mergus merganser,Goosander
203,Mergus squamatus,Scaly-sided Merganser
204,Milvus migrans,Black Kite
205,Morphnus guianensis,Crested Eagle
206,Morus bassanus,Northern Gannet
207,Morus capensis,Cape Gannet
208,Mycteria americana,Wood Stork
209,Nannopterum auritum,Double-crested cormorant
210,Nannopterum brasilianum,Neotropical Cormorant
211,Necrosyrtes monachus,Hooded Vulture
212,Netta peposaca,Rosy-billed Pochard
213,Netta rufina,Red-crested Pochard
214,Nisaetus nipalensis,Mountain Hawk-eagle
215,Numenius arquata,Eurasian Curlew
216,Numenius madagascariensis,Far Eastern Curlew
217,Numenius phaeopus,Whimbrel
218,Numida meleagris,Helmeted Guineafowl
219,Nycticorax nycticorax,Black-crowned Night-heron
220,Onychoprion fuscatus,Sooty Tern
221,Oreortyx pictus,Mountain Quail
222,Otis tarda,Great Bustard
223,Otus scops,Eurasian Scops-owl
224,Oxyura jamaicensis,Ruddy Duck
225,Oxyura leucocephala,White-headed Duck
226,Pandion haliaetus,Osprey
227,Parabuteo unicinctus,Harris's Hawk
228,Parus major,Great Tit
229,Passer domesticus,House Sparrow
230,Passer montanus,Eurasian Tree Sparrow
231,Pavo cristatus,Indian Peafowl
232,Pelecanus conspicillatus,Australian Pelican
233,Pelecanus crispus,Dalmatian Pelican
234,Pelecanus erythrorhynchos,American White Pelican
235,Pelecanus occidentalis,Brown Pelican
236,Perdix perdix,Grey Partridge
237,Phalacrocorax carbo,Great Cormorant
238,Phalaropus lobatus,Red-necked Phalarope
239,Phasianus colchicus,Common Pheasant
240,Phoeniconaias minor,Lesser Flamingo
241,Phoenicopterus chilensis,Chilean Flamingo
242,Pica hudsonia,Black-billed Magpie
243,Pica pica,Eurasian Magpie
244,Plegadis chihi,White-faced Ibis
245,Plegadis falcinellus,Glossy Ibis
246,Podiceps auritus,Horned Grebe
247,Podiceps cristatus,Great Crested Grebe
248,Podiceps grisegena,Red-necked Grebe
249,Podiceps nigricollis,Black-necked Grebe
250,Podilymbus podiceps,Pied-billed Grebe
251,Polyplectron bicalcaratum,Grey Peacock-pheasant
252,Pygoscelis adeliae,Adelie Penguin
253,Pygoscelis antarcticus,Chinstrap Penguin
254,Quiscalus major,Boat-tailed Grackle
